Paul Hunter (ADE), ADE,RUC, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,
Sam Jacobs (ADE), ADE,RUC, ,90,116,82,67,74,76,93,51,47,42,94,88,126,0,145,70,71,68,63,93,95,97,90,526300,526300,526300,515200,498300,467400,440400,431400,413600,387400,346100,335100,344500,389600,389600,443200,474000,472500,436700,407600,395600,398700,415600,
Ben Jarman (ADE), ADE,FWD, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,
Josh Jenkins (ADE), ADE,FWD, ,71,115,69,39,94,80,93,54,58,59,70,73,54,0,51,120,80,89,82,114,88,95,111,435500,435500,435500,433800,419500,399900,389100,404700,397200,381600,355600,343800,341000,337400,337400,324700,336300,356600,388000,393900,412800,425900,440700,
Alex Keath (ADE), ADE,DEF, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,68,73,85,64,0,67,269700,269700,269700,269700,269700,269700,269700,269700,269700,269700,269700,269700,269700,269700,269700,269700,269700,269700,269700,279800,303700,319100,319100,
Jake Kelly (ADE), ADE,DEF, ,71,94,66,43,87,0,86,75,58,36,67,76,121,0,37,39,55,80,75,0,0,59,57,324600,324600,324600,341700,342800,340700,340700,346300,363800,363500,341600,322000,314800,348300,348300,357500,347700,311500,304000,314500,314500,314500,323000,
Riley Knight (ADE), ADE,FWD, ,0,0,0,0,40,61,0,0,0,0,0,0,0,0,0,0,77,60,94,50,0,55,72,320600,320600,320600,320600,320600,320600,320600,320600,320600,320600,320600,320600,320600,320600,320600,320600,320600,312700,315500,332300,332100,332100,329100,
Rory Laird (ADE), ADE,DEF, ,137,120,105,129,110,99,120,89,102,98,111,0,0,0,111,84,133,111,91,76,84,117,104,550800,550800,550800,566400,576100,579200,576800,569900,554100,543600,527000,524600,524600,524600,524600,524100,517400,522800,526200,531800,509900,481800,472400,
Tom Lynch (ADE), ADE,FWD, ,0,0,74,47,95,127,82,86,72,69,35,0,0,0,0,71,128,90,56,68,106,90,82,470900,470900,470900,470900,470900,444000,446500,463300,470400,450800,431300,394300,394300,394300,394300,394300,364700,369700,397500,411100,393800,388100,398600,
David Mackay (ADE), ADE,MID, ,96,49,74,55,0,77,90,47,94,42,49,51,87,0,45,0,0,0,0,63,85,74,74,346400,346400,346400,352200,339300,339300,341500,349600,351100,359600,344900,335100,307900,308800,308800,306100,306100,306100,306100,306100,309000,310100,323400,
Mitchell McGovern (ADE), ADE,FWD, ,51,41,80,80,79,65,94,72,0,0,0,0,0,0,0,0,0,53,45,0,0,85,71,381200,381200,381200,356700,352900,367500,370300,377900,379400,379400,379400,379400,379400,379400,379400,379400,379400,379400,373400,347200,347200,347200,333000,
Andrew McPherson (ADE), ADE,DEF, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,117300,117300,117300,117300,117300,117300,117300,117300,117300,117300,117300,117300,117300,117300,117300,117300,117300,117300,117300,117300,117300,117300,117300,
Wayne Milera (ADE), ADE,MID, FWD,0,74,29,69,79,116,28,0,0,81,62,73,78,0,91,68,92,83,112,91,82,106,70,322000,322000,322000,322000,314300,311200,346900,354000,354000,354000,359600,339500,344100,346900,346900,360000,367300,379200,383900,406900,422700,433500,438200,
Lachlan Murphy (ADE), ADE,DEF, ,32,80,63,0,0,0,0,0,51,0,26,42,0,0,0,0,74,28,68,28,50,0,50,102400,102400,102400,153600,153600,153600,153600,153600,153600,198800,198800,208000,204800,204800,204800,204800,204800,212400,218600,234600,225600,228700,228700,
Reilly O'Brien (ADE), ADE,RUC, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,207800,207800,207800,207800,207800,207800,207800,207800,207800,207800,207800,207800,207800,207800,207800,207800,207800,207800,207800,207800,207800,207800,207800,
Andy Otten (ADE), ADE,DEF, FWD,0,0,0,0,71,45,54,69,76,0,0,0,79,0,0,0,0,0,0,0,0,64,65,399400,399400,399400,399400,399400,399400,399400,368700,344600,340500,340500,340500,340500,349100,349100,349100,349100,349100,349100,349100,349100,349100,350400,
Myles Poholke (ADE), ADE,MID, FWD,0,0,0,0,53,18,0,36,61,28,0,83,29,0,51,30,0,0,0,0,0,0,44,123900,123900,123900,123900,123900,123900,123900,123900,138300,152300,167300,167300,198800,207900,207900,223800,211700,211700,211700,211700,211700,211700,211700,
Paul Seedsman (ADE), ADE,DEF, MID,75,99,110,71,115,93,87,68,94,0,81,84,49,0,82,81,61,84,19,0,0,100,81,300200,300200,300200,347500,381600,414300,429200,446600,437200,430500,430500,423600,424700,406300,406300,391300,379000,375700,373800,344900,344900,344900,340300,
Matthew Signorello (ADE), ADE,MID, FWD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,
Rory Sloane (ADE), ADE,MID, ,89,141,78,59,0,0,0,0,0,0,0,0,0,0,89,96,127,84,66,111,109,110,92,605800,605800,605800,582500,553700,553700,553700,553700,553700,553700,553700,553700,553700,553700,553700,503400,474700,484600,489100,479000,464000,463900,482900,
Brodie Smith (ADE), ADE,DEF, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,129,0,94,452100,452100,452100,452100,452100,452100,452100,452100,452100,452100,452100,452100,452100,452100,452100,452100,452100,452100,452100,452100,452100,452100,452100,
Daniel Talia (ADE), ADE,DEF, ,68,83,80,82,48,90,66,24,78,97,71,92,75,0,65,84,0,48,73,31,0,0,58,360800,360800,360800,368200,381200,375300,374200,365500,347600,328900,329600,351200,372200,378600,378600,378600,375100,375100,360500,353400,324300,324300,324300,
Taylor Walker (ADE), ADE,FWD, ,0,70,79,60,99,73,0,48,0,0,0,56,37,0,104,47,63,0,63,55,32,0,46,473600,473600,473600,473600,442600,433100,421900,421900,406600,406600,406600,406600,375600,337700,337700,333300,326100,332700,332700,319000,312200,293400,293400,
Patrick Wilson (ADE), ADE,MID, FWD,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,34,105400,105400,105400,105400,105400,105400,105400,105400,105400,105400,105400,105400,105400,105400,105400,105400,105400,105400,105400,105400,105400,105400,105400,
Jacob Allison (BRL), BRL,MID, ,0,0,0,0,62,43,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,266500,266500,266500,266500,266500,266500,266500,256600,256600,256600,256600,256600,256600,256600,256600,256600,256600,256600,256600,256600,256600,256600,256600,
Harris Andrews (BRL), BRL,DEF, ,67,81,57,101,130,82,80,107,115,91,102,152,0,22,0,0,0,0,66,61,91,96,58,380100,380100,380100,370700,380300,409800,441200,454000,452000,465000,480200,489100,510800,510800,495900,495900,495900,495900,495900,467500,405900,391600,394100,
Zachary Bailey (BRL), BRL,MID, ,0,0,0,15,41,57,55,47,47,30,73,51,0,47,0,0,0,0,0,0,0,60,52,139800,139800,139800,139800,139800,139800,153300,180800,203100,214900,212700,222700,231200,231200,245000,245000,245000,245000,245000,245000,245000,245000,247800,
Connor Ballenden (BRL), BRL,DEF, FWD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,117300,117300,117300,117300,117300,117300,117300,117300,117300,117300,117300,117300,117300,117300,117300,117300,117300,117300,117300,117300,117300,117300,117300,
Jake Barrett (BRL), BRL,FWD, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,92,54,40,50,0,0,0,61,348000,348000,348000,348000,348000,348000,348000,348000,348000,348000,348000,348000,348000,348000,348000,348000,348000,338900,329300,303600,303600,303600,303600,
Ryan Bastinac (BRL), BRL,MID, ,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,79,434000,434000,434000,434000,434000,434000,434000,434000,434000,434000,434000,434000,434000,434000,434000,434000,434000,434000,434000,434000,434000,434000,434000,
Claye Beams (BRL), BRL,MID, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,312200,312200,312200,312200,312200,312200,312200,312200,312200,312200,312200,312200,312200,312200,312200,312200,312200,312200,312200,312200,312200,312200,312200,
Dayne Beams (BRL), BRL,MID, ,69,59,0,83,73,130,108,63,109,140,119,37,0,100,129,148,111,80,143,85,102,144,102,557600,557600,557600,557600,505300,469000,472500,485500,489300,482400,492400,524800,515000,515000,490100,474900,513100,546400,548200,547400,534600,534700,534700,
Tom Bell (BRL), BRL,FWD, ,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,287000,287000,287000,287000,287000,287000,287000,287000,287000,287000,287000,287000,287000,287000,287000,287000,287000,287000,287000,287000,287000,287000,287000,
Jarrod Berry (BRL), BRL,MID, ,103,75,49,49,96,70,52,73,63,85,0,71,0,56,114,90,83,80,52,106,118,77,87,339100,339100,339100,350500,335700,334600,342100,348300,341700,333500,342800,342800,347800,347800,348400,360700,378000,403000,405700,390800,389600,405400,427600,
Rohan Bewick (BRL), BRL,MID, FWD,0,88,66,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,318900,318900,318900,318900,334900,334900,334900,334900,334900,334900,334900,334900,334900,334900,334900,334900,334900,334900,334900,334900,334900,334900,334900,
Charlie Cameron (BRL), BRL,FWD, ,83,115,91,26,85,41,68,120,92,38,26,0,0,0,0,0,0,0,0,0,0,0,64,372500,372500,372500,402800,400800,386100,351600,344500,354100,383700,392500,356900,356900,356900,356900,356900,356900,356900,356900,356900,356900,356900,356900,
Allen Christensen (BRL), BRL,FWD, ,66,101,74,98,54,74,61,56,93,100,-3,83,0,70,71,47,52,68,48,82,75,118,73,267300,267300,267300,304100,346500,356900,363300,350800,341700,343300,362600,350300,335900,335900,312000,326600,321200,309600,299500,292600,300600,309400,346400,
Cedric Cox (BRL), BRL,DEF, ,0,51,37,0,0,0,0,0,0,0,0,0,0,0,0,0,42,23,0,0,0,0,46,252200,252200,252200,252200,252200,252200,252200,252200,252200,252200,252200,252200,252200,252200,252200,252200,252200,241500,221100,221100,221100,221100,221100,
Tom Cutler (BRL), BRL,DEF, ,0,0,92,40,122,76,46,77,113,86,71,62,0,87,102,111,45,105,0,0,81,75,103,389000,389000,389000,389000,389000,400800,400900,403000,383400,385400,405400,417400,402300,402300,391800,396700,422000,422200,423200,423200,423200,409900,413100,
Liam Dawson (BRL), BRL,DEF, FWD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,
Matthew Eagles (BRL), BRL,DEF, ,0,0,0,0,0,0,48,42,46,28,0,0,0,0,0,0,0,0,0,0,0,0,41,123900,123900,123900,123900,123900,123900,123900,123900,123900,151200,162400,162400,162400,162400,162400,162400,162400,162400,162400,162400,162400,162400,162400,
Jack Frost (BRL), BRL,DEF, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,150900,150900,150900,150900,150900,150900,150900,150900,150900,150900,150900,150900,150900,150900,150900,150900,150900,150900,150900,150900,150900,150900,150900,
Darcy Gardiner (BRL), BRL,DEF, ,57,58,89,64,56,80,60,61,70,73,68,95,0,50,56,121,55,117,83,81,15,0,89,324100,324100,324100,329200,337200,342500,341100,337600,336600,331200,333600,338500,352300,352300,352100,345700,352500,360000,392100,398700,414500,380500,380500,
Cian *** Hanley (BRL), BRL,DEF, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,117300,117300,117300,117300,117300,117300,117300,117300,117300,117300,117300,117300,117300,117300,117300,117300,117300,117300,117300,117300,117300,117300,117300,
Mitchell Hinge (BRL), BRL,DEF, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,
Eric Hipwood (BRL), BRL,FWD, ,39,65,76,19,42,26,41,45,95,41,32,43,0,54,64,130,68,42,44,33,76,35,48,269100,269100,269100,278100,276600,265400,233800,220100,210900,234800,252700,260000,241400,241400,233800,241700,286100,324900,343100,318100,284000,274200,262800,
Luke Hodge (BRL), BRL,DEF, ,93,62,68,84,92,0,77,40,79,70,86,61,0,164,87,121,0,0,89,89,77,89,91,461800,461800,461800,438700,419100,418500,418500,419900,400300,379900,362500,370300,367000,367000,406500,434500,481500,481500,481500,482400,483300,464200,449900,
Ben Keays (BRL), BRL,FWD, ,0,0,0,0,0,0,0,0,0,0,68,52,0,0,0,0,0,0,0,0,0,0,60,378200,378200,378200,378200,378200,378200,378200,378200,378200,378200,378200,378200,378200,378200,378200,378200,378200,378200,378200,378200,378200,378200,378200,
Ryan Lester (BRL), BRL,MID, FWD,88,56,55,0,59,30,0,0,0,0,74,58,0,104,79,93,64,79,49,0,0,87,65,434100,434100,434100,407600,407600,376800,341200,341200,341200,341200,341200,322600,307700,307700,329900,347200,375300,378400,380200,362000,362000,362000,358000,
