Rory Atkins (ADE), ADE,MID, ,39,59,80,105,104,78,63,113,47,85,92,91,82,0,86,76,76,78,77,76,92,84,70,434100,434100,434100,398200,402700,426700,441900,433500,430300,413900,412400,413900,421300,421300,424000,419300,413200,405200,399700,395700,399000,404600,406100,
Eddie Betts (ADE), ADE,FWD, ,56,77,80,31,0,0,86,65,82,36,64,60,56,0,60,64,56,67,55,69,61,72,59,436400,436400,436400,415600,390400,390400,390400,374300,354900,363200,347500,317100,312500,312500,307300,305300,303800,305900,303400,307400,307600,315300,316500,
Luke Brown (ADE), ADE,DEF, ,62,89,113,71,94,116,59,74,0,12,84,79,72,0,59,67,71,87,81,78,79,69,66,340300,340300,340300,368000,393600,415100,430700,436000,429900,429900,379400,337000,351600,351600,351100,345400,340800,350000,362900,375500,381200,379900,373700,
Kyle Cheney (ADE), ADE,DEF, ,0,0,0,0,0,0,0,0,0,0,72,74,67,0,75,74,71,65,71,64,73,70,77,241800,241800,241800,241800,241800,241800,241800,241800,241800,241800,241800,241800,272100,272100,295600,312900,327300,333400,336500,335600,338600,340300,347300,
Brad Crouch (ADE), ADE,MID, ,0,0,0,0,0,0,0,0,0,0,106,119,105,0,104,99,91,104,101,108,106,105,121,529100,529100,529100,529100,529100,529100,529100,529100,529100,529100,529100,529100,534700,534700,537900,531300,520200,512000,507000,511000,514800,519300,528400,
Matt Crouch (ADE), ADE,MID, ,105,51,0,0,0,100,122,92,0,100,94,93,83,0,93,91,87,97,86,95,101,107,95,608300,608300,608300,608300,608300,608300,561300,533400,530100,530100,528200,504700,490000,490000,478800,469700,464800,463100,459500,460500,463100,474300,482500,
Ben Davis (ADE), ADE,DEF, FWD,0,0,0,0,0,0,0,0,0,0,25,24,25,0,25,24,25,25,24,25,25,24,25,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123700,123700,123600,123500,123400,123400,123400,123400,123400,123400,123400,
Harry Dear (ADE), ADE,DEF, FWD,0,0,0,0,0,0,0,0,0,0,25,24,25,0,25,24,25,25,24,25,25,24,25,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123700,123700,123600,123500,123400,123400,123400,123400,123400,123400,123400,
Tom Doedee (ADE), ADE,DEF, ,86,115,85,57,100,83,68,56,91,104,80,80,80,0,80,88,80,80,86,73,80,80,76,123900,123900,123900,219100,276800,312800,337300,359500,355300,355500,372300,407200,405300,405300,403800,406400,408200,409600,409700,406700,404400,400000,398200,
Richard Douglas (ADE), ADE,MID, ,50,0,114,74,63,124,132,64,80,56,95,96,85,0,98,100,94,85,103,89,95,103,99,450800,450800,450800,450800,438800,436200,437200,463100,481400,474800,436800,419800,430600,430600,439800,448300,458600,460300,462900,462600,466800,469900,476600,
Jackson Edwards (ADE), ADE,MID, ,0,0,0,0,0,0,0,0,0,0,20,21,20,0,20,21,20,20,21,20,20,21,20,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102200,102200,102100,102000,101900,101900,101900,101900,101900,101900,101900,
Cam Ellis-Yolmen (ADE), ADE,MID, ,77,97,51,93,91,124,92,100,99,39,86,100,92,0,89,94,91,87,101,103,86,92,82,263900,263900,263900,294400,325000,345100,391400,424200,451200,459400,442600,410900,424900,424900,436500,442400,446200,448100,452600,461300,467100,467400,458300,
Darcy Fogarty (ADE), ADE,FWD, MID,48,44,0,44,0,0,55,0,45,52,48,48,48,0,48,47,48,48,49,48,48,48,50,153300,153300,153300,153300,174000,174000,174000,191500,191500,204200,217400,230000,232700,232700,234600,235600,236300,236800,238100,239000,239700,239700,240700,
Jordan Gallucci (ADE), ADE,MID, FWD,0,0,0,0,54,76,51,20,57,48,50,50,50,0,50,50,50,50,50,42,50,50,50,219400,219400,219400,219400,219400,219400,219400,241800,242400,234200,227200,238500,241600,241600,243800,245500,246600,247500,248100,245000,242700,241100,243400,
Bryce Gibbs (ADE), ADE,MID, ,116,127,120,104,59,80,95,71,92,86,85,90,79,0,89,88,77,68,80,77,85,94,85,563000,563000,563000,575800,581600,555800,517000,483600,463400,453700,443300,440100,435500,435500,434000,432000,429700,418600,406900,398400,399700,407000,415800,
Sam Gibson (ADE), ADE,MID, ,0,0,0,0,0,0,0,0,80,69,78,74,79,0,79,79,82,79,74,69,78,77,62,447800,447800,447800,447800,447800,447800,447800,447800,447800,447800,447800,412900,405400,405400,400300,398900,399100,399300,397200,389900,384100,381200,375900,
Hugh Greenwood (ADE), ADE,MID, ,45,111,70,85,86,70,116,98,112,94,98,94,112,0,98,105,104,104,95,110,98,98,106,465000,465000,465000,442400,445200,436400,428400,435600,445200,470700,480300,484400,490400,490400,494800,502900,505200,509600,508300,510100,508700,509000,507400,
Curtly Hampton (ADE), ADE,MID, ,45,0,0,0,0,0,0,0,0,0,45,47,48,0,47,50,48,45,45,52,45,44,47,332300,332300,332300,332300,332300,332300,332300,332300,332300,332300,332300,304400,285300,285300,272200,264000,258000,252700,246600,243900,242000,240100,236500,
Kyle Hartigan (ADE), ADE,DEF, ,44,63,55,44,10,0,0,0,53,29,40,41,39,0,43,39,34,38,39,43,40,40,29,278600,278600,278600,277000,276700,252900,252900,252900,252900,232500,211200,202200,201600,201600,202500,202300,199900,195900,193000,194800,197100,199200,194500,
Elliott Himmelberg (ADE), ADE,FWD, ,0,0,0,0,0,0,0,0,0,0,25,24,25,0,25,24,25,25,24,25,25,24,25,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123700,123700,123600,123500,123400,123400,123400,123400,123400,123400,123400,
Paul Hunter (ADE), ADE,RUC, ,0,0,0,0,0,0,0,0,0,0,25,24,25,0,25,24,25,25,24,25,25,24,25,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123700,123700,123600,123500,123400,123400,123400,123400,123400,123400,123400,
Sam Jacobs (ADE), ADE,RUC, ,90,116,82,67,74,76,93,51,47,42,53,60,62,0,54,73,67,60,63,61,57,58,68,526300,526300,526300,515200,498300,467400,440400,431400,413600,387400,346100,301000,298500,298500,297100,301900,307600,314500,315000,312700,309800,305400,305300,
Ben Jarman (ADE), ADE,FWD, ,0,0,0,0,0,0,0,0,0,0,25,24,25,0,25,24,25,25,24,25,25,24,25,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123700,123700,123600,123500,123400,123400,123400,123400,123400,123400,123400,
Josh Jenkins (ADE), ADE,FWD, ,71,115,69,39,94,80,93,54,58,59,76,74,43,0,71,68,61,69,56,68,73,74,82,435500,435500,435500,433800,419500,399900,389100,404700,397200,381600,355600,346900,340100,340100,332900,325000,327200,327900,323000,322700,324200,333400,346400,
Alex Keath (ADE), ADE,DEF, ,0,0,0,0,0,0,0,0,0,0,53,53,53,0,45,53,55,53,53,48,53,53,53,269700,269700,269700,269700,269700,269700,269700,269700,269700,269700,269700,269700,268400,268400,263900,260600,259000,261500,263300,261500,260200,259200,260700,
Jake Kelly (ADE), ADE,DEF, ,71,94,66,43,87,0,86,75,58,36,63,72,57,0,70,90,70,58,70,72,63,62,63,324600,324600,324600,341700,342800,340700,340700,346300,363800,363500,341600,310700,313200,313200,318200,329900,344200,349300,344100,341200,341300,337800,331200,
Riley Knight (ADE), ADE,FWD, ,0,0,0,0,40,61,0,0,0,0,55,50,51,0,52,50,40,56,53,49,55,43,53,320600,320600,320600,320600,320600,320600,320600,320600,320600,320600,320600,296900,286900,286900,278400,272100,262600,257400,254900,257200,258400,254700,253900,
Rory Laird (ADE), ADE,DEF, ,137,120,105,129,110,99,120,89,102,98,115,107,90,0,101,103,97,103,96,99,106,104,109,550800,550800,550800,566400,576100,579200,576800,569900,554100,543600,527000,528300,526100,526100,518200,510600,508200,507300,503500,501700,501700,505200,512200,
Tom Lynch (ADE), ADE,FWD, ,0,0,74,47,95,127,82,86,72,69,79,84,90,0,85,90,79,87,78,97,77,80,87,470900,470900,470900,470900,470900,444000,446500,463300,470400,450800,431300,406700,410700,410700,416300,423000,423000,423900,419200,423800,422800,423000,418600,
David Mackay (ADE), ADE,MID, ,96,49,74,55,0,77,90,47,94,42,84,75,77,0,75,59,64,75,83,61,91,72,73,346400,346400,346400,352200,339300,339300,341500,349600,351100,359600,344900,346600,359100,359100,364200,360800,352500,346500,352800,356000,365600,367600,374500,
Mitchell McGovern (ADE), ADE,FWD, ,51,41,80,80,79,65,94,72,0,0,89,66,89,0,72,70,77,78,83,79,89,88,79,381200,381200,381200,356700,352900,367500,370300,377900,379400,379400,379400,388000,393000,393000,389100,388000,381800,379900,384400,388600,396500,404600,410500,
Andrew McPherson (ADE), ADE,DEF, ,0,0,0,0,0,0,0,0,0,0,23,24,23,0,23,24,23,23,24,23,23,24,23,117300,117300,117300,117300,117300,117300,117300,117300,117300,117300,117300,117300,117100,117100,117000,116900,116800,116800,116800,116800,116800,116800,116800,
Wayne Milera (ADE), ADE,MID, FWD,0,74,29,69,79,116,28,0,0,81,78,87,75,0,76,76,72,76,73,80,78,70,56,322000,322000,322000,322000,314300,311200,346900,354000,354000,354000,359600,363700,373400,373400,379600,379200,377600,376400,374300,376200,378600,378900,368400,
Lachlan Murphy (ADE), ADE,DEF, ,32,80,63,0,0,0,0,0,51,0,57,57,57,0,57,63,57,57,57,57,57,57,57,102400,102400,102400,153600,153600,153600,153600,153600,153600,198800,198800,236100,249200,249200,258700,268400,275500,280700,281900,282700,283300,283700,284000,
Reilly O'Brien (ADE), ADE,RUC, ,0,0,0,0,0,0,0,0,0,0,63,59,63,0,63,63,63,67,63,63,63,63,63,207800,207800,207800,207800,207800,207800,207800,207800,207800,207800,207800,207800,234700,234700,254500,270700,282600,293100,300700,306300,308600,310300,311500,
Andy Otten (ADE), ADE,DEF, FWD,0,0,0,0,71,45,54,69,76,0,56,75,71,0,63,60,57,63,59,71,56,62,61,399400,399400,399400,399400,399400,399400,399400,368700,344600,340500,340500,340600,339500,339500,341900,336900,326900,319600,313900,315900,314300,314500,310200,
