Paul Hunter (ADE), ADE,RUC, ,0,0,0,0,0,0,0,0,0,25,25,25,25,0,25,25,25,25,25,25,25,25,25,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,124000,124100,124100,124100,124100,124100,124100,124100,124100,124100,124100,124100
Sam Jacobs (ADE), ADE,RUC, ,90,116,82,67,74,76,93,51,47,66,58,66,68,0,59,80,74,67,70,67,63,65,75,526300,526300,526300,515200,498300,467400,440400,431400,413600,387400,336500,330600,327200,327200,325100,329900,336000,344100,345500,343400,340100,335400,335600
Ben Jarman (ADE), ADE,FWD, ,0,0,0,0,0,0,0,0,0,25,25,25,25,0,25,25,25,25,25,25,25,25,25,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,124000,124100,124100,124100,124100,124100,124100,124100,124100,124100,124100,124100
Josh Jenkins (ADE), ADE,FWD, ,71,115,69,39,94,80,93,54,58,70,83,81,48,0,78,74,68,76,62,74,80,82,90,435500,435500,435500,433800,419500,399900,389100,404700,397200,381600,357200,365300,361500,361500,356500,349700,353700,355700,351800,351600,353300,363400,377900
Alex Keath (ADE), ADE,DEF, ,0,0,0,0,0,0,0,0,0,53,53,53,53,0,45,53,55,53,53,48,53,53,53,269700,269700,269700,269700,269700,269700,269700,269700,269700,269700,269700,267900,266700,266700,262200,258900,257400,259900,261700,259900,258600,257600,259100
Jake Kelly (ADE), ADE,DEF, ,71,94,66,43,87,0,86,75,58,70,64,73,58,0,71,90,71,60,71,73,64,64,63,324600,324600,324600,341700,342800,340700,340700,346300,363800,363500,345800,345000,339100,339100,337900,344600,355200,358100,351700,347900,346900,343100,335800
Riley Knight (ADE), ADE,FWD, ,0,0,0,0,40,61,0,0,0,53,55,50,51,0,52,50,40,56,53,49,55,43,53,320600,320600,320600,320600,320600,320600,320600,320600,320600,320600,296700,287200,279400,279400,272300,267200,258600,254000,252100,254700,256200,252800,252100
Rory Laird (ADE), ADE,DEF, ,137,120,105,129,110,99,120,89,102,104,117,109,92,0,103,105,99,106,98,101,108,106,112,550800,550800,550800,566400,576100,579200,576800,569900,554100,543600,530400,534700,532500,532500,524700,517200,514900,514500,511100,509500,509200,512500,519800
Tom Lynch (ADE), ADE,FWD, ,0,0,74,47,95,127,82,86,72,94,83,89,95,0,90,95,83,92,83,102,82,85,92,470900,470900,470900,470900,470900,444000,446500,463300,470400,450800,433800,435600,437300,437300,441700,447700,446700,446800,441500,446100,445000,445100,440700
David Mackay (ADE), ADE,MID, ,96,49,74,55,0,77,90,47,94,86,88,78,80,0,78,61,66,78,86,63,95,75,75,346400,346400,346400,352200,339300,339300,341500,349600,351100,359600,385500,394100,397700,397700,395800,386900,374100,364800,369100,370900,379900,381500,388000
